errMax,0.01433659039944363,errL2,0.009192205084455675
x,uex,uh
0.8795850090716572,0.36933641926487,0.3555489704558631
0.8935870074254804,0.3281139304524378,0.3139764390843119
0.9,0.3090169943749475,0.2946910095170778
0.9000000000000001,0.3090169943749471,0.2946910095170778
0.9064129925745198,0.289794631915893,0.2754580415164494
0.920414990928343,0.247426902871815,0.2334340601129441
0.9395350391048762,0.188815958573477,0.1753115514171773
0.9604649608951241,0.1238839008314451,0.1110103681549363
0.9795850090716572,0.06409162563122604,0.05189917995474282
0.9935870074254805,0.02014564743524225,0.00834206256604232
1,-7.657137397853899e-16,-0.01169273802246112
